column_1,column_1_min,column_1_max,column_2,column_2_min,column_2_max,iv
survey_type,1,1,gender,1,1,0.022
survey_type,1,1,gender,1,2,0.045
survey_type,1,1,gender,2,2,0.008
survey_type,1,2,gender,1,1,0.013
survey_type,1,2,gender,1,2,0.0
survey_type,1,2,gender,2,2,0.013
survey_type,2,2,gender,1,1,0.0
survey_type,2,2,gender,1,2,0.045
survey_type,2,2,gender,2,2,0.051
survey_type,1,1,nationality,1.0,1.0,0.05
survey_type,1,1,nationality,1.0,2.0,0.051
survey_type,1,1,nationality,1.0,3.0,0.056
survey_type,1,1,nationality,1.0,4.0,0.032
survey_type,1,1,nationality,1.0,5.0,0.032
survey_type,1,1,nationality,1.0,6.0,0.036
survey_type,1,1,nationality,1.0,7.0,0.036
survey_type,1,1,nationality,1.0,8.0,0.045
survey_type,1,1,nationality,2.0,2.0,0.152
survey_type,1,1,nationality,2.0,3.0,0.647
survey_type,1,1,nationality,2.0,4.0,0.019
survey_type,1,1,nationality,2.0,5.0,0.018
survey_type,1,1,nationality,2.0,6.0,0.01
survey_type,1,1,nationality,2.0,7.0,0.01
survey_type,1,1,nationality,2.0,8.0,0.001
survey_type,1,1,nationality,3.0,3.0,0.495
survey_type,1,1,nationality,3.0,4.0,0.022
survey_type,1,1,nationality,3.0,5.0,0.021
survey_type,1,1,nationality,3.0,6.0,0.013
survey_type,1,1,nationality,3.0,7.0,0.013
survey_type,1,1,nationality,3.0,8.0,0.002
survey_type,1,1,nationality,4.0,4.0,0.038
survey_type,1,1,nationality,4.0,5.0,0.036
survey_type,1,1,nationality,4.0,6.0,0.023
survey_type,1,1,nationality,4.0,7.0,0.023
survey_type,1,1,nationality,4.0,8.0,0.005
survey_type,1,1,nationality,5.0,5.0,0.038
survey_type,1,1,nationality,5.0,6.0,0.457
survey_type,1,1,nationality,5.0,7.0,0.469
survey_type,1,1,nationality,5.0,8.0,1.56
survey_type,1,1,nationality,6.0,6.0,0.419
survey_type,1,1,nationality,6.0,7.0,0.431
survey_type,1,1,nationality,6.0,8.0,1.522
survey_type,1,1,nationality,7.0,7.0,0.013
survey_type,1,1,nationality,7.0,8.0,1.104
survey_type,1,1,nationality,8.0,8.0,1.091
survey_type,1,2,nationality,1.0,1.0,0.015
survey_type,1,2,nationality,1.0,2.0,0.01
survey_type,1,2,nationality,1.0,3.0,0.001
survey_type,1,2,nationality,1.0,4.0,4.937
survey_type,1,2,nationality,1.0,5.0,4.898
survey_type,1,2,nationality,1.0,6.0,3.68
survey_type,1,2,nationality,1.0,7.0,3.667
survey_type,1,2,nationality,1.0,8.0,0.0
survey_type,1,2,nationality,2.0,2.0,0.01
survey_type,1,2,nationality,2.0,3.0,0.036
survey_type,1,2,nationality,2.0,4.0,0.124
survey_type,1,2,nationality,2.0,5.0,0.123
survey_type,1,2,nationality,2.0,6.0,0.079
survey_type,1,2,nationality,2.0,7.0,0.079
survey_type,1,2,nationality,2.0,8.0,0.015
survey_type,1,2,nationality,3.0,3.0,0.026
survey_type,1,2,nationality,3.0,4.0,0.113
survey_type,1,2,nationality,3.0,5.0,0.111
survey_type,1,2,nationality,3.0,6.0,0.069
survey_type,1,2,nationality,3.0,7.0,0.069
survey_type,1,2,nationality,3.0,8.0,0.01
survey_type,1,2,nationality,4.0,4.0,0.085
survey_type,1,2,nationality,4.0,5.0,0.083
survey_type,1,2,nationality,4.0,6.0,0.043
survey_type,1,2,nationality,4.0,7.0,0.043
survey_type,1,2,nationality,4.0,8.0,0.001
survey_type,1,2,nationality,5.0,5.0,0.038
survey_type,1,2,nationality,5.0,6.0,1.256
survey_type,1,2,nationality,5.0,7.0,1.269
survey_type,1,2,nationality,5.0,8.0,4.937
survey_type,1,2,nationality,6.0,6.0,1.218
survey_type,1,2,nationality,6.0,7.0,1.23
survey_type,1,2,nationality,6.0,8.0,4.898
survey_type,1,2,nationality,7.0,7.0,0.013
survey_type,1,2,nationality,7.0,8.0,3.68
survey_type,1,2,nationality,8.0,8.0,3.667
survey_type,2,2,nationality,1.0,1.0,0.023
survey_type,2,2,nationality,1.0,2.0,0.029
survey_type,2,2,nationality,1.0,3.0,0.049
survey_type,2,2,nationality,1.0,4.0,0.079
survey_type,2,2,nationality,1.0,5.0,0.079
survey_type,2,2,nationality,1.0,6.0,0.07
survey_type,2,2,nationality,1.0,7.0,0.07
survey_type,2,2,nationality,1.0,8.0,0.045
survey_type,2,2,nationality,2.0,2.0,0.021
survey_type,2,2,nationality,2.0,3.0,0.076
survey_type,2,2,nationality,2.0,4.0,0.118
survey_type,2,2,nationality,2.0,5.0,0.118
survey_type,2,2,nationality,2.0,6.0,0.076
survey_type,2,2,nationality,2.0,7.0,0.076
survey_type,2,2,nationality,2.0,8.0,0.016
survey_type,2,2,nationality,3.0,3.0,0.055
survey_type,2,2,nationality,3.0,4.0,0.098
survey_type,2,2,nationality,3.0,5.0,0.098
survey_type,2,2,nationality,3.0,6.0,0.06
survey_type,2,2,nationality,3.0,7.0,0.06
survey_type,2,2,nationality,3.0,8.0,0.009
survey_type,2,2,nationality,4.0,4.0,0.046
survey_type,2,2,nationality,4.0,5.0,0.046
survey_type,2,2,nationality,4.0,6.0,0.019
survey_type,2,2,nationality,4.0,7.0,0.019
survey_type,2,2,nationality,4.0,8.0,0.0
survey_type,2,2,nationality,5.0,5.0,0.0
survey_type,2,2,nationality,5.0,6.0,0.799
survey_type,2,2,nationality,5.0,7.0,0.799
survey_type,2,2,nationality,5.0,8.0,3.375
survey_type,2,2,nationality,6.0,6.0,0.799
survey_type,2,2,nationality,6.0,7.0,0.799
survey_type,2,2,nationality,6.0,8.0,3.375
survey_type,2,2,nationality,7.0,7.0,0.0
survey_type,2,2,nationality,7.0,8.0,2.576
survey_type,2,2,nationality,8.0,8.0,2.576
survey_type,1,1,religion,0.0,0.0,0.003
survey_type,1,1,religion,0.0,1.0,0.045
survey_type,1,1,religion,1.0,1.0,0.058
survey_type,1,2,religion,0.0,0.0,0.008
survey_type,1,2,religion,0.0,1.0,0.0
survey_type,1,2,religion,1.0,1.0,0.008
survey_type,2,2,religion,0.0,0.0,0.004
survey_type,2,2,religion,0.0,1.0,0.045
survey_type,2,2,religion,1.0,1.0,0.034
survey_type,1,1,religion_freq,-8,-8,0.152
survey_type,1,1,religion_freq,-8,1,0.043
survey_type,1,1,religion_freq,-8,2,0.055
survey_type,1,1,religion_freq,-8,3,0.059
survey_type,1,1,religion_freq,-8,4,0.039
survey_type,1,1,religion_freq,-8,5,0.042
survey_type,1,1,religion_freq,-8,6,0.05
survey_type,1,1,religion_freq,-8,7,0.052
survey_type,1,1,religion_freq,-8,8,0.041
survey_type,1,1,religion_freq,-8,9,0.045
survey_type,1,1,religion_freq,1,1,0.041
survey_type,1,1,religion_freq,1,2,0.054
survey_type,1,1,religion_freq,1,3,0.058
survey_type,1,1,religion_freq,1,4,0.038
survey_type,1,1,religion_freq,1,5,0.041
survey_type,1,1,religion_freq,1,6,0.048
survey_type,1,1,religion_freq,1,7,0.051
survey_type,1,1,religion_freq,1,8,0.04
survey_type,1,1,religion_freq,1,9,0.043
survey_type,1,1,religion_freq,2,2,1.433
survey_type,1,1,religion_freq,2,3,0.013
survey_type,1,1,religion_freq,2,4,0.0
survey_type,1,1,religion_freq,2,5,0.0
survey_type,1,1,religion_freq,2,6,0.001
survey_type,1,1,religion_freq,2,7,0.002
survey_type,1,1,religion_freq,2,8,0.0
survey_type,1,1,religion_freq,2,9,0.0
survey_type,1,1,religion_freq,3,3,0.001
survey_type,1,1,religion_freq,3,4,0.008
survey_type,1,1,religion_freq,3,5,0.005
survey_type,1,1,religion_freq,3,6,0.001
survey_type,1,1,religion_freq,3,7,0.0
survey_type,1,1,religion_freq,3,8,0.004
survey_type,1,1,religion_freq,3,9,0.002
